T,,5,L4,5.,4,3,5,L4,4.,3,2,4,L4,3,1,6,2,L4,1,-,7,,,,,R
T,,,X,,MBN,,,X,,MBN,,,X,,,MDN,,X,,,MDN,,,,,R
T,,1,X,1.,7,1,1,X,7.,1,2,7,X,5,5,6,6,X,5,-,-,,,,,R
T,,,X,,MBDN,,,X,MDN,MBN,,MDN,X,MDN,MDN,MDN,MDN,X,MDN,,,,,,,R
T,(1),聖,,靈,如,油,倒,,在,人,身,方,,言,靈,歌,是,,真,；,,,,,,R
T,(2),聖,,靈,如,火,落,,在,人,身,使,,人,火,熱,是,,真,；,,,,,,R
T,,3,L4,5.,5,5,5,L4,5.,5,5,2,L4,3,5,1,4,L4,3,-,2,,,,,R
T,,,X,,MBN,,,X,,MBN,,,X,,,,,X,,,,,,,,R
T,,1,X,3.,2,1,3,X,2.,1,7,5,X,1,3,4,2,X,5,-,-,,,,,R
T,,,X,,MBN,,,X,,MBN,MDN,MDN,X,,MDN,MDN,MDN,X,MDN,,,,,,,RK
T,,5,L4,5.,4,3,,5,L4,4.,,3,2,4,L4,3,2,1,7,L4,1,-,-,,,R
T,,,X,,MBN,,,,X,,,MBN,,,X,,,,MDN,X,,,,,,R
T,,7,X,1.,7,1,,6,X,2.,#,1,6,2,X,1,6,5,4,X,3,-,-,,,R
T,,MDN,X,,MBDN,,,MDN,X,,,MBN,MDN,,X,,MDN,MDN,MDN,X,MDN,,,,,R
T,,聖,,靈,如,雨,,澆,,在,,人,身,清,,新,涼,爽,是,,真,；,,,,R
T,,聖,,靈,如,鴿,,降,,在,,人,身,馴,,良,溫,柔,是,,真,；,,,,R
T,,5,L4,5.,5,5,,3,L4,6.,,5,4,5,L4,5,4,3,2,L4,1,-,-,,,R
T,,,X,,MBN,,,,X,,,MBN,,,X,,,,,X,,,,,,R
T,,4,X,3.,2,1,#,1,X,2.,,3,4,7,X,1,4,5,5,X,1,-,-,,,R
T,,,X,,MBN,,,,X,,,MBN,,MDN,X,,MDN,MDN,MDN,X,MDN,,,,,RK
T,,2,L4,2.,,1,7,5,L4,4.,3,2,4,L4,3,6,,5,#,4,,L4,5,-,-,R
T,,,X,,,MBN,MDN,MDN,X,,MBN,,,X,,,,,,,,X,,,,R
T,,5,X,5.,#,4,5,5,X,7.,1,2,7,X,1,1,,7,,6,1,X,7,-,-,R
T,,MDN,X,MDN,,MBDN,MDN,MDN,X,MDN,MBN,,MDN,X,,,,MDN,,MBDN,MBN,X,MDN,,,R
T,,聖,,靈,,如,風,吹,,在,人,身,震,,動,跳,,舞,,是,,,真,。,,R
T,,聖,,靈,,如,膏,膏,,在,人,身,教,,訓,引,,導,,是,,,真,。,,R
T,,7,L4,2.,,2,2,2,L4,5.,5,5,5,L4,5,1,3,2,,2,,L4,2,-,-,R
T,,MDN,X,,,MBN,,,X,,MBN,,,X,,MBN,MBN,,,,,X,,,,R
T,,5,X,7.,,6,5,7,X,2.,1,7,5,X,1,6,,2,,2,,X,5,-,-,R
T,,MDN,X,MDN,,MBDN,MDN,MDN,X,,MBN,MDN,MDN,X,,MDN,,,,MDN,,X,MDN,,,RK
T,,5,L4,,5.,4,,3,,5,L4,4.,,3,2,4,L4,3,2,1,7,L4,1,-,-,R
T,,,X,,,MBN,,,,,X,,,MBN,,,X,,,,MDN,X,,,,R
T,,5,X,,6.,6,,6,,6,X,6.,,5,6,7,X,1,6,5,4,X,3,-,-,R
T,,MDN,X,,MDN,MBDN,,MDN,,MDN,X,MDN,,MBDN,MDN,MDN,X,,MDN,MDN,MDN,X,MDN,,,R
T,,我,,,真,羨,,慕,,我,,必,,祈,求,更,,顯,靈,恩,普,,臨,。,,R
T,,2,L4,#,1.,2,,3,#,1,L4,2.,#,1,2,5,L4,5,4,3,2,L4,1,-,-,R
T,,,X,,,MBN,,,,,X,,,MBN,,,X,,,,,X,,,,R
T,,7,X,,6.,2,#,1,,6,X,2.,,3,4,5,X,1,4,5,5,X,1,-,-,R
T,,MDN,X,,MDN,MBN,,,,MDN,X,MDN,,MBDN,MDN,MDN,X,,MDN,MDN,MDN,X,MDN,,,R
